anime_id,title,image_url,genres,score
61469,Steel Ball Run: JoJo's Bizarre Adventure,https://myanimelist.net/images/anime/1448/154111.jpg,"Action, Adventure, Mystery, Supernatural",9.26
52991,Frieren: Beyond Journey's End,https://myanimelist.net/images/anime/1015/138006.jpg,"Adventure, Award Winning, Drama, Fantasy",9.26
5114,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/images/anime/1208/94745.jpg,"Action, Adventure, Drama, Fantasy",9.11
57555,Chainsaw Man – The Movie: Reze Arc,https://myanimelist.net/images/anime/1763/150638.jpg,"Action, Fantasy",9.09
9253,Steins;Gate,https://myanimelist.net/images/anime/1935/127974.jpg,"Drama, Sci-Fi, Suspense",9.07
38524,Attack on Titan Season 3 Part 2,https://myanimelist.net/images/anime/1517/100633.jpg,"Action, Drama, Suspense",9.05
28977,Gintama Season 4,https://myanimelist.net/images/anime/3/72078.jpg,"Action, Comedy, Sci-Fi",9.05
39486,Gintama: The Very Final,https://myanimelist.net/images/anime/1245/116760.jpg,"Action, Comedy, Drama, Sci-Fi",9.05
59978,Frieren: Beyond Journey's End Season 2,https://myanimelist.net/images/anime/1921/154528.jpg,"Adventure, Drama, Fantasy",9.04
11061,Hunter x Hunter,https://myanimelist.net/images/anime/1337/99013.jpg,"Action, Adventure, Fantasy",9.03
60022,One Piece Fan Letter,https://myanimelist.net/images/anime/1455/146229.jpg,"Action, Adventure, Fantasy",9.02
9969,Gintama Season 2,https://myanimelist.net/images/anime/4/50361.jpg,"Action, Comedy, Sci-Fi",9.02
15417,Gintama: Enchousen,https://myanimelist.net/images/anime/1452/123686.jpg,"Action, Comedy, Sci-Fi",9.02
820,Legend of the Galactic Heroes,https://myanimelist.net/images/anime/1976/142016.jpg,"Drama, Sci-Fi",9.02
34096,Gintama Season 5,https://myanimelist.net/images/anime/3/83528.jpg,"Action, Comedy, Sci-Fi",8.98
41467,Bleach: Thousand-Year Blood War,https://myanimelist.net/images/anime/1908/135431.jpg,"Action, Adventure, Supernatural",8.98
43608,Kaguya-sama: Love is War -Ultra Romantic-,https://myanimelist.net/images/anime/1160/122627.jpg,"Comedy, Romance",8.96
42938,Fruits Basket: The Final Season,https://myanimelist.net/images/anime/1085/114792.jpg,"Drama, Romance, Supernatural",8.94
4181,Clannad: After Story,https://myanimelist.net/images/anime/1299/110774.jpg,"Drama, Romance",8.93
918,Gintama,https://myanimelist.net/images/anime/10/73274.jpg,"Action, Comedy, Sci-Fi",8.93
28851,A Silent Voice,https://myanimelist.net/images/anime/1122/96435.jpg,"Award Winning, Drama",8.93
2904,Code Geass: Lelouch of the Rebellion R2,https://myanimelist.net/images/anime/1088/135089.jpg,"Award Winning, Drama, Sci-Fi",8.92
58514,The Apothecary Diaries Season 2,https://myanimelist.net/images/anime/1025/147458.jpg,"Drama, Mystery",8.91
35180,March Comes In Like a Lion 2nd Season,https://myanimelist.net/images/anime/3/88469.jpg,Drama,8.9
15335,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,https://myanimelist.net/images/anime/10/51723.jpg,"Action, Comedy, Sci-Fi",8.89
19,Monster,https://myanimelist.net/images/anime/10/18793.jpg,"Drama, Mystery, Suspense",8.89
