user_id,anime_id,rating
1,1,7
1,35222,3
1,50403,9
1,34534,8
1,23777,5
1,2759,5
1,36369,6
1,49587,6
1,39535,6
1,4181,9
1,39565,4
1,57658,3
1,30364,10
1,31757,5
1,37514,1
1,4155,7
1,1530,5
1,21855,7
1,3665,5
1,2828,4
1,47794,8
1,9735,3
1,6547,6
1,6811,5
1,53287,7
1,24277,2
1,24701,6
1,37989,5
1,1486,6
1,35062,6
1,33095,10
1,3701,4
1,3371,4
1,5681,7
1,52215,6
1,20507,7
1,37430,8
1,1535,5
1,6594,10
1,9863,6
1,48569,10
1,61335,5
1,62405,5
1,731,9
1,24997,7
1,10408,5
1,49574,6
1,54029,8
1,53223,8
1,5941,8
1,53236,3
1,57433,7
1,57555,5
1,51096,9
1,60544,6
1,934,6
1,60726,6
1,54650,7
1,53065,6
1,589,6
1,31933,8
1,8740,6
1,58125,6
1,56752,8
1,7222,7
1,44087,5
1,9963,5
1,1575,5
1,12477,8
1,31658,7
1,12355,10
1,1364,5
1,32935,8
1,512,6
1,34626,3
1,135,6
1,18617,9
1,53447,3
1,49053,7
1,49387,5
1,60108,6
1,35838,7
1,20,8
1,36456,7
1,59828,8
1,53199,6
1,401,8
1,2159,6
1,58883,6
1,38731,10
1,269,6
1,40776,10
1,36296,7
1,31715,6
1,40730,6
1,10379,8
1,54492,8
1,18195,7
1,467,7
1,60602,9
1,21647,3
1,4772,7
1,59001,10
1,58930,4
1,759,5
1,22789,6
1,51335,9
1,6171,5
1,11977,3
1,56215,5
1,73,9
1,45556,8
1,16664,5
1,40682,5
1,2448,7
1,30276,4
1,957,5
1,205,6
1,136,8
1,32867,7
1,49782,9
1,245,5
1,16049,6
1,14513,7
1,44218,1
2,60541,7
2,39587,7
2,33970,7
2,137,7
2,55855,6
2,2618,10
2,39792,2
2,35677,4
2,30370,5
2,30,7
2,55823,6
2,5460,6
2,6438,5
2,36370,10
2,50207,10
2,59150,8
2,57647,8
2,56609,8
2,6594,6
2,40052,4
2,37932,8
2,48171,4
2,13759,7
2,1142,5
2,7465,6
2,60058,7
2,35790,8
2,55690,9
2,589,7
2,42640,4
2,59459,6
2,33,9
2,56738,4
2,1089,5
2,1914,5
2,38524,8
2,59408,5
2,49722,9
2,1575,1
2,52865,6
2,18689,8
2,58509,3
2,1065,6
2,40853,7
2,35843,4
2,53273,3
2,55825,6
2,52991,10
2,31181,5
2,53127,6
2,55318,6
2,12859,5
2,1210,10
2,21,8
2,6774,7
2,3786,6
2,38889,5
2,56785,3
2,820,8
2,53499,7
2,49909,6
2,39166,6
2,49571,7
2,40211,5
2,58390,8
2,50183,6
2,30015,4
2,57067,8
2,59192,6
2,37430,6
2,40852,6
2,38040,7
2,5114,8
2,36649,8
2,14397,8
2,995,6
2,6945,4
2,918,6
2,32281,6
2,58514,6
2,4059,2
2,48583,7
2,37965,9
2,36946,6
2,38337,9
2,49458,4
2,33221,5
2,60334,8
2,3701,6
2,61274,7
2,40784,8
2,2154,3
2,793,7
2,50602,7
2,60557,6
2,34798,7
2,27831,8
2,51019,2
2,2685,10
2,35839,6
2,11113,5
2,26213,3
2,18661,5
2,23273,6
2,2890,8
2,37822,9
2,39198,6
2,50325,8
2,139,8
2,35110,8
2,4901,8
2,44931,8
